question,option,answer,category,subcategory
Who was the first President of the United States?,"Thomas Jefferson, Abraham Lincoln, George Washington, John Adams",C,GK,none
In which year did World War II end?,"1940, 1942, 1945, 1950",C,GK,none
Who discovered America?,"Ferdinand Magellan, Christopher Columbus, Vasco da Gama, Marco Polo",B,GK,none
Which ancient civilization built the pyramids?,"Romans, Greeks, Egyptians, Mayans",C,GK,none
What is the largest desert in the world?,"Arabian Desert, Gobi Desert, Sahara Desert, Antarctic Desert",D,GK,none
Which country has the most islands in the world?,"Canada, Sweden, Indonesia, Philippines",B,GK,none
What is the capital city of Australia?,"Sydney, Melbourne, Canberra, Perth",C,GK,none
Which is the longest river in the world?,"Amazon, Yangtze, Nile, Mississippi",C,GK,none
What is the chemical symbol for water?,"O2, H2O, CO2, NaCl",B,GK,none
Who developed the theory of relativity?,"Isaac Newton, Albert Einstein, Nikola Tesla, Galileo Galilei",B,GK,none
What is the hardest natural substance on Earth?,"Gold, Diamond, Iron, Graphite",B,GK,none
What planet is known as the Red Planet?,"Venus, Mars, Jupiter, Saturn",B,GK,none
Who wrote Romeo and Juliet?,"Charles Dickens, William Shakespeare, Mark Twain, Jane Austen",B,GK,none
What is the name of the famous painting by Leonardo da Vinci that depicts a woman with a mysterious smile?,"The Starry Night, Mona Lisa, The Last Supper, Girl with a Pearl Earring",B,GK,none
Who is the author of the Harry Potter series?,"J.R.R. Tolkien, George R.R. Martin, J.K. Rowling, Suzanne Collins",C,GK,none
Which epic poem is attributed to Homer?,"Beowulf, Paradise Lost, The Odyssey, Inferno",C,GK,none
In which sport is the term 'love' used for a score of zero?,"Cricket, Football, Tennis, Badminton",C,GK,none
Which country won the FIFA World Cup in 2018?,"Brazil, Germany, France, Argentina",C,GK,none
What does 'WWW' stand for in a website browser?,"World Wide Web, Web World Wide, Wide World Web, Web Wide World",A,GK,none
Which is the most spoken language in the world?,"Spanish, English, Mandarin Chinese, Hindi",C,GK,none
